Team Name: ,06 October 2022
Elasped Time,Strain 1,Strain 2,Strain 3,Strain 4,Strain 5,Strain 6,Strain 7,Strain 8,Strain 9,Strain 10
10:00:00.079,-343426.000000,-317534.000000,-428367.000000,1511.000000,-98958.000000,-63605.000000,-269372.000000,-144154.000000,-1141.000000,-333012.000000
10:00:00.169,-343431.000000,-317528.000000,-428381.000000,1499.000000,-98947.000000,-63642.000000,-269432.000000,-144256.000000,-1142.000000,-332999.000000
10:00:00.269,-343413.000000,-317419.000000,-428396.000000,1481.000000,-99066.000000,-63646.000000,-269511.000000,-144301.000000,-1133.000000,-333055.000000
10:00:00.369,-343387.000000,-317346.000000,-428460.000000,1472.000000,-99023.000000,-63645.000000,-269533.000000,-144292.000000,-1185.000000,-333112.000000
10:00:00.470,-343443.000000,-317439.000000,-428425.000000,1484.000000,-99021.000000,-63797.000000,-269590.000000,-144256.000000,-1172.000000,-333127.000000
10:00:00.559,-343425.000000,-317441.000000,-428428.000000,1438.000000,-99036.000000,-63779.000000,-269448.000000,-144244.000000,-1183.000000,-333119.000000
10:00:00.659,-343407.000000,-317407.000000,-428429.000000,1479.000000,-99035.000000,-63801.000000,-269549.000000,-144314.000000,-1127.000000,-333207.000000
10:00:00.759,-343503.000000,-317474.000000,-428384.000000,1503.000000,-99154.000000,-63857.000000,-269522.000000,-144210.000000,-1148.000000,-333265.000000
10:00:00.849,-343505.000000,-317475.000000,-428290.000000,1527.000000,-99088.000000,-63810.000000,-269600.000000,-144257.000000,-1140.000000,-333271.000000
10:00:00.950,-343632.000000,-317476.000000,-428263.000000,1470.000000,-99131.000000,-63821.000000,-269577.000000,-144196.000000,-1157.000000,-333194.000000
10:00:01.049,-343617.000000,-317451.000000,-428237.000000,1409.000000,-99155.000000,-63760.000000,-269654.000000,-144286.000000,-1103.000000,-333202.000000
10:00:01.139,-343680.000000,-317444.000000,-428251.000000,1431.000000,-99269.000000,-63909.000000,-269706.000000,-144255.000000,-1098.000000,-333119.000000
10:00:01.239,-343697.000000,-317472.000000,-428346.000000,1508.000000,-99168.000000,-63853.000000,-269829.000000,-144311.000000,-1125.000000,-333167.000000
10:00:01.339,-343759.000000,-317496.000000,-428577.000000,1428.000000,-99192.000000,-63877.000000,-269930.000000,-144325.000000,-1171.000000,-333153.000000
10:00:01.439,-343643.000000,-317532.000000,-428537.000000,1466.000000,-99329.000000,-64066.000000,-269971.000000,-144289.000000,-1168.000000,-333083.000000
10:00:01.529,-343582.000000,-317501.000000,-428467.000000,1502.000000,-99360.000000,-64038.000000,-270018.000000,-144252.000000,-1140.000000,-333107.000000
10:00:01.630,-343627.000000,-317480.000000,-428326.000000,1512.000000,-99441.000000,-64033.000000,-269999.000000,-144293.000000,-1111.000000,-333165.000000
10:00:01.729,-343591.000000,-317533.000000,-428320.000000,1514.000000,-99407.000000,-63988.000000,-270022.000000,-144359.000000,-1086.000000,-333167.000000
10:00:01.821,-343576.000000,-317544.000000,-428339.000000,1465.000000,-99370.000000,-64029.000000,-270082.000000,-144354.000000,-1110.000000,-333198.000000
10:00:01.919,-343559.000000,-317527.000000,-428360.000000,1447.000000,-99388.000000,-64063.000000,-270039.000000,-144328.000000,-1164.000000,-333251.000000
10:00:02.019,-343572.000000,-317566.000000,-428301.000000,1433.000000,-99363.000000,-64082.000000,-270054.000000,-144364.000000,-1155.000000,-333250.000000
10:00:02.120,-343593.000000,-317682.000000,-428257.000000,1493.000000,-99384.000000,-63942.000000,-270046.000000,-144395.000000,-1162.000000,-333235.000000
10:00:02.209,-343617.000000,-317645.000000,-428199.000000,1500.000000,-99397.000000,-63957.000000,-270052.000000,-144499.000000,-1147.000000,-333201.000000
10:00:02.309,-343638.000000,-317713.000000,-428124.000000,1516.000000,-99434.000000,-63937.000000,-270014.000000,-144528.000000,-1076.000000,-333227.000000
10:00:02.410,-343675.000000,-317693.000000,-428083.000000,1522.000000,-99418.000000,-63914.000000,-270037.000000,-144545.000000,-1075.000000,-333238.000000
10:00:02.501,-343739.000000,-317666.000000,-428021.000000,1525.000000,-99427.000000,-63888.000000,-270033.000000,-144565.000000,-1144.000000,-333200.000000
10:00:02.600,-343780.000000,-317649.000000,-428006.000000,1498.000000,-99472.000000,-63918.000000,-270115.000000,-144642.000000,-1095.000000,-333158.000000
10:00:02.699,-343899.000000,-317638.000000,-428023.000000,1501.000000,-99475.000000,-64005.000000,-270131.000000,-144714.000000,-1106.000000,-333160.000000
10:00:02.799,-343977.000000,-317635.000000,-427994.000000,1535.000000,-99456.000000,-64047.000000,-270167.000000,-144816.000000,-1081.000000,-333099.000000
10:00:02.889,-344058.000000,-317656.000000,-427991.000000,1515.000000,-99467.000000,-64019.000000,-270157.000000,-144877.000000,-1121.000000,-333028.000000
10:00:02.989,-344150.000000,-317633.000000,-427935.000000,1514.000000,-99533.000000,-64051.000000,-270147.000000,-144887.000000,-1120.000000,-333048.000000
10:00:03.091,-344111.000000,-317626.000000,-427889.000000,1475.000000,-99594.000000,-64058.000000,-270156.000000,-144885.000000,-1123.000000,-333069.000000
10:00:03.189,-344143.000000,-317645.000000,-427864.000000,1465.000000,-99727.000000,-64070.000000,-270102.000000,-144884.000000,-1122.000000,-333024.000000
10:00:03.279,-344168.000000,-317649.000000,-427871.000000,1476.000000,-99828.000000,-64065.000000,-270042.000000,-144840.000000,-1172.000000,-333059.000000
10:00:03.380,-344109.000000,-317696.000000,-427915.000000,1515.000000,-99836.000000,-64065.000000,-270049.000000,-144889.000000,-1132.000000,-333090.000000
10:00:03.479,-344055.000000,-317689.000000,-427915.000000,1529.000000,-99879.000000,-64077.000000,-269978.000000,-144918.000000,-1139.000000,-333113.000000
10:00:03.580,-344065.000000,-317769.000000,-427949.000000,1501.000000,-99851.000000,-64017.000000,-269993.000000,-144900.000000,-1160.000000,-333135.000000
10:00:03.669,-344102.000000,-317810.000000,-427936.000000,1459.000000,-99829.000000,-64004.000000,-269989.000000,-144901.000000,-1154.000000,-333118.000000
10:00:03.769,-344166.000000,-317860.000000,-427945.000000,1483.000000,-99852.000000,-63959.000000,-269985.000000,-144906.000000,-1136.000000,-333100.000000
10:00:03.870,-344240.000000,-317882.000000,-427958.000000,1464.000000,-99802.000000,-63930.000000,-270002.000000,-144932.000000,-1117.000000,-333130.000000
10:00:03.959,-344293.000000,-317883.000000,-427998.000000,1436.000000,-99786.000000,-63932.000000,-270071.000000,-144959.000000,-1122.000000,-333173.000000
10:00:04.059,-344389.000000,-317905.000000,-428008.000000,1411.000000,-99779.000000,-63921.000000,-270078.000000,-144954.000000,-1095.000000,-333198.000000
10:00:04.159,-344462.000000,-317893.000000,-428025.000000,1406.000000,-99753.000000,-64039.000000,-270123.000000,-144915.000000,-1126.000000,-333193.000000
10:00:04.250,-344551.000000,-317953.000000,-427965.000000,1454.000000,-99837.000000,-64125.000000,-270192.000000,-144930.000000,-1166.000000,-333172.000000
10:00:04.349,-344634.000000,-317915.000000,-428022.000000,1445.000000,-99885.000000,-64182.000000,-270268.000000,-144913.000000,-1124.000000,-333146.000000
10:00:04.450,-344697.000000,-317911.000000,-428023.000000,1503.000000,-99904.000000,-64300.000000,-270256.000000,-144906.000000,-1071.000000,-333131.000000
10:00:04.550,-344749.000000,-317923.000000,-428049.000000,1492.000000,-99880.000000,-64221.000000,-270286.000000,-144963.000000,-1074.000000,-333147.000000
10:00:04.640,-344775.000000,-317851.000000,-428065.000000,1448.000000,-99803.000000,-64111.000000,-270347.000000,-144994.000000,-1169.000000,-333198.000000
10:00:04.741,-344779.000000,-317847.000000,-428055.000000,1446.000000,-99791.000000,-64014.000000,-270388.000000,-144976.000000,-1148.000000,-333184.000000
10:00:04.840,-344801.000000,-317856.000000,-427970.000000,1432.000000,-99783.000000,-63984.000000,-270396.000000,-144955.000000,-1112.000000,-333235.000000
10:00:04.939,-344740.000000,-317837.000000,-428024.000000,1488.000000,-99763.000000,-63878.000000,-270462.000000,-144942.000000,-1135.000000,-333313.000000
10:00:05.029,-344768.000000,-317896.000000,-427982.000000,1512.000000,-99765.000000,-63833.000000,-270412.000000,-144974.000000,-1134.000000,-333370.000000
10:00:05.129,-344740.000000,-317976.000000,-427984.000000,1516.000000,-99779.000000,-63857.000000,-270446.000000,-144915.000000,-1132.000000,-333368.000000
10:00:05.229,-344770.000000,-318036.000000,-428014.000000,1498.000000,-99827.000000,-63784.000000,-270448.000000,-144890.000000,-1120.000000,-333358.000000
10:00:05.320,-344769.000000,-318053.000000,-428110.000000,1488.000000,-99827.000000,-63787.000000,-270410.000000,-144874.000000,-1131.000000,-333290.000000
10:00:05.419,-344838.000000,-318010.000000,-428136.000000,1488.000000,-99798.000000,-63921.000000,-270422.000000,-144902.000000,-1175.000000,-333274.000000
10:00:05.520,-344816.000000,-318034.000000,-428110.000000,1499.000000,-99866.000000,-63985.000000,-270434.000000,-144855.000000,-1136.000000,-333216.000000
10:00:05.619,-344815.000000,-318034.000000,-428068.000000,1431.000000,-99864.000000,-64059.000000,-270430.000000,-144873.000000,-1135.000000,-333212.000000
10:00:05.709,-344802.000000,-317957.000000,-428101.000000,1448.000000,-99900.000000,-64099.000000,-270463.000000,-144903.000000,-1112.000000,-333143.000000
10:00:05.810,-344804.000000,-317863.000000,-428112.000000,1517.000000,-99873.000000,-64202.000000,-270475.000000,-144917.000000,-1055.000000,-333119.000000
10:00:05.910,-344782.000000,-317810.000000,-428155.000000,1516.000000,-99914.000000,-64269.000000,-270468.000000,-144929.000000,-1093.000000,-333091.000000
