Team Name: ,06 October 2022
Elasped Time,Strain 1,Strain 2,Strain 3,Strain 4,Strain 5,Strain 6,Strain 7,Strain 8,Strain 9,Strain 10
10:00:00.060,-150677.000000,-288507.000000,-139659.000000,1957.000000,-2846.000000,-6628.000000,-206254.000000,-123955.000000,-1545.000000,-292571.000000
10:00:00.150,-150779.000000,-288511.000000,-139697.000000,1988.000000,-2910.000000,-6630.000000,-206260.000000,-123937.000000,-1578.000000,-292560.000000
10:00:00.251,-150838.000000,-288649.000000,-139765.000000,1986.000000,-2926.000000,-6573.000000,-206308.000000,-123904.000000,-1580.000000,-292606.000000
10:00:00.350,-150838.000000,-288946.000000,-139896.000000,1952.000000,-2858.000000,-6618.000000,-206348.000000,-123766.000000,-1556.000000,-292618.000000
10:00:00.449,-150926.000000,-288935.000000,-139929.000000,1939.000000,-2832.000000,-6576.000000,-206260.000000,-123602.000000,-1627.000000,-292576.000000
10:00:00.539,-150876.000000,-288925.000000,-140069.000000,1984.000000,-2858.000000,-6661.000000,-206152.000000,-123751.000000,-1556.000000,-292530.000000
10:00:00.639,-150913.000000,-288946.000000,-140196.000000,1948.000000,-2854.000000,-6699.000000,-206084.000000,-123583.000000,-1610.000000,-292449.000000
10:00:00.739,-150868.000000,-288925.000000,-140564.000000,1975.000000,-2918.000000,-6675.000000,-205990.000000,-123778.000000,-1636.000000,-292470.000000
10:00:00.830,-150897.000000,-288992.000000,-140504.000000,1982.000000,-2918.000000,-6494.000000,-206008.000000,-123692.000000,-1599.000000,-292532.000000
10:00:00.931,-150906.000000,-288994.000000,-140553.000000,1972.000000,-2868.000000,-6537.000000,-206046.000000,-123847.000000,-1586.000000,-292525.000000
10:00:01.029,-150930.000000,-289065.000000,-140410.000000,1938.000000,-2873.000000,-6528.000000,-206007.000000,-123825.000000,-1514.000000,-292503.000000
10:00:01.120,-150995.000000,-289142.000000,-140465.000000,1949.000000,-2893.000000,-6573.000000,-205996.000000,-124065.000000,-1499.000000,-292544.000000
10:00:01.220,-150964.000000,-289156.000000,-140512.000000,1965.000000,-2883.000000,-6570.000000,-205942.000000,-124138.000000,-1535.000000,-292567.000000
10:00:01.319,-150992.000000,-289245.000000,-140546.000000,1973.000000,-2896.000000,-6602.000000,-205992.000000,-124179.000000,-1599.000000,-292563.000000
10:00:01.419,-151043.000000,-289316.000000,-140523.000000,1999.000000,-2941.000000,-6583.000000,-205985.000000,-124255.000000,-1577.000000,-292692.000000
10:00:01.511,-151068.000000,-289346.000000,-140564.000000,1973.000000,-2939.000000,-6590.000000,-205984.000000,-124328.000000,-1588.000000,-292782.000000
10:00:01.609,-151056.000000,-289402.000000,-140519.000000,2007.000000,-2878.000000,-6642.000000,-205942.000000,-124342.000000,-1589.000000,-292799.000000
10:00:01.711,-151013.000000,-289445.000000,-140555.000000,1977.000000,-2868.000000,-6577.000000,-205934.000000,-124394.000000,-1632.000000,-292937.000000
10:00:01.811,-150929.000000,-289506.000000,-140508.000000,1959.000000,-2868.000000,-6561.000000,-205904.000000,-124424.000000,-1560.000000,-292989.000000
10:00:01.900,-151030.000000,-289551.000000,-140473.000000,1979.000000,-2810.000000,-6522.000000,-205873.000000,-124352.000000,-1584.000000,-293047.000000
10:00:02.000,-150994.000000,-289594.000000,-140397.000000,1962.000000,-2874.000000,-6544.000000,-205917.000000,-124382.000000,-1575.000000,-293077.000000
10:00:02.100,-150972.000000,-289617.000000,-140476.000000,1999.000000,-2913.000000,-6596.000000,-205883.000000,-124430.000000,-1578.000000,-293026.000000
10:00:02.190,-151040.000000,-289625.000000,-140402.000000,1992.000000,-2910.000000,-6589.000000,-205802.000000,-124482.000000,-1605.000000,-293043.000000
10:00:02.289,-151066.000000,-289619.000000,-140412.000000,1956.000000,-2863.000000,-6598.000000,-205779.000000,-124476.000000,-1575.000000,-293011.000000
10:00:02.389,-151097.000000,-289690.000000,-140368.000000,1970.000000,-2838.000000,-6638.000000,-205754.000000,-124555.000000,-1570.000000,-293041.000000
10:00:02.480,-151128.000000,-289710.000000,-140457.000000,1959.000000,-2882.000000,-6643.000000,-205756.000000,-124427.000000,-1577.000000,-293012.000000
10:00:02.579,-151132.000000,-289700.000000,-140496.000000,1962.000000,-2890.000000,-6688.000000,-205825.000000,-124458.000000,-1622.000000,-292957.000000
10:00:02.680,-151194.000000,-289717.000000,-140449.000000,2008.000000,-2943.000000,-6643.000000,-205864.000000,-124443.000000,-1599.000000,-292905.000000
10:00:02.780,-151291.000000,-289677.000000,-140421.000000,1978.000000,-2967.000000,-6629.000000,-205884.000000,-124527.000000,-1603.000000,-292919.000000
10:00:02.870,-151366.000000,-289650.000000,-140498.000000,1951.000000,-2912.000000,-6651.000000,-205920.000000,-124507.000000,-1584.000000,-292923.000000
10:00:02.970,-151421.000000,-289627.000000,-140611.000000,1971.000000,-2906.000000,-6658.000000,-205954.000000,-124424.000000,-1570.000000,-292879.000000
10:00:03.070,-151474.000000,-289568.000000,-140487.000000,1981.000000,-2923.000000,-6663.000000,-206025.000000,-124261.000000,-1564.000000,-292817.000000
10:00:03.161,-151515.000000,-289596.000000,-140499.000000,1974.000000,-2932.000000,-6466.000000,-206142.000000,-123969.000000,-1566.000000,-292744.000000
10:00:03.260,-151277.000000,-289448.000000,-140583.000000,1975.000000,-2953.000000,-6361.000000,-206129.000000,-123695.000000,-1583.000000,-292733.000000
10:00:03.360,-151089.000000,-289423.000000,-140525.000000,1912.000000,-2957.000000,-6422.000000,-206190.000000,-123499.000000,-1607.000000,-292592.000000
10:00:03.461,-150743.000000,-289363.000000,-140513.000000,1875.000000,-2929.000000,-6387.000000,-206372.000000,-123321.000000,-1624.000000,-292805.000000
10:00:03.551,-151377.000000,-289075.000000,-140472.000000,1926.000000,-2927.000000,-6429.000000,-206163.000000,-123562.000000,-1625.000000,-292895.000000
