Team Name: ,06 October 2022
Elasped Time,Strain 1,Strain 2,Strain 3,Strain 4,Strain 5,Strain 6,Strain 7,Strain 8,Strain 9,Strain 10
10:00:00.085,-478770.000000,-442049.000000,-246490.000000,848.000000,-396169.000000,-112683.000000,-261363.000000,-342889.000000,-1109.000000,-449891.000000
10:00:00.175,-478769.000000,-441762.000000,-246481.000000,820.000000,-396146.000000,-112531.000000,-261410.000000,-343084.000000,-1107.000000,-449938.000000
10:00:00.275,-478769.000000,-441680.000000,-246523.000000,857.000000,-396126.000000,-112354.000000,-261477.000000,-343200.000000,-1115.000000,-450007.000000
10:00:00.374,-478812.000000,-441568.000000,-246478.000000,830.000000,-396070.000000,-112141.000000,-261523.000000,-343164.000000,-1105.000000,-450025.000000
10:00:00.476,-478940.000000,-441497.000000,-246402.000000,853.000000,-395952.000000,-111992.000000,-261455.000000,-343073.000000,-1056.000000,-450057.000000
10:00:00.564,-479195.000000,-441460.000000,-246271.000000,854.000000,-395835.000000,-111731.000000,-261353.000000,-342842.000000,-1080.000000,-450036.000000
10:00:00.665,-479419.000000,-441446.000000,-246281.000000,889.000000,-395611.000000,-111708.000000,-261251.000000,-342685.000000,-1084.000000,-449997.000000
10:00:00.764,-479700.000000,-441601.000000,-246326.000000,865.000000,-395384.000000,-111646.000000,-261158.000000,-342557.000000,-985.000000,-449878.000000
10:00:00.865,-479938.000000,-441848.000000,-246453.000000,810.000000,-395221.000000,-111544.000000,-261140.000000,-342409.000000,-987.000000,-449760.000000
10:00:00.955,-480157.000000,-442248.000000,-246566.000000,825.000000,-395035.000000,-111583.000000,-261153.000000,-342345.000000,-1075.000000,-449660.000000
10:00:01.054,-480293.000000,-442877.000000,-246619.000000,855.000000,-394772.000000,-111632.000000,-261188.000000,-342284.000000,-1072.000000,-449659.000000
10:00:01.154,-480421.000000,-443949.000000,-246404.000000,865.000000,-394494.000000,-111724.000000,-261309.000000,-342276.000000,-1037.000000,-449608.000000
10:00:01.245,-480529.000000,-444150.000000,-246298.000000,834.000000,-394256.000000,-111791.000000,-261415.000000,-342539.000000,-1043.000000,-449658.000000
10:00:01.345,-480613.000000,-444295.000000,-246233.000000,835.000000,-394029.000000,-111970.000000,-261499.000000,-342820.000000,-1048.000000,-449662.000000
10:00:01.444,-480680.000000,-444396.000000,-246309.000000,822.000000,-393950.000000,-112091.000000,-261565.000000,-342973.000000,-1012.000000,-449584.000000
10:00:01.544,-480693.000000,-444419.000000,-246333.000000,843.000000,-393941.000000,-112199.000000,-261670.000000,-343167.000000,-1007.000000,-449536.000000
10:00:01.635,-480741.000000,-444397.000000,-246333.000000,858.000000,-394021.000000,-112332.000000,-261771.000000,-343421.000000,-1007.000000,-449536.000000
10:00:01.736,-480825.000000,-444396.000000,-246385.000000,836.000000,-394047.000000,-112471.000000,-261887.000000,-343779.000000,-1034.000000,-449458.000000
10:00:01.835,-480867.000000,-444350.000000,-246395.000000,851.000000,-394080.000000,-112637.000000,-262014.000000,-344019.000000,-1059.000000,-449431.000000
10:00:01.934,-480945.000000,-444189.000000,-246359.000000,856.000000,-394093.000000,-112697.000000,-262100.000000,-344244.000000,-1072.000000,-449423.000000
10:00:02.024,-481000.000000,-444091.000000,-246438.000000,864.000000,-394088.000000,-112709.000000,-262216.000000,-344352.000000,-1123.000000,-449402.000000
10:00:02.125,-481132.000000,-444065.000000,-246406.000000,853.000000,-394139.000000,-112752.000000,-262274.000000,-344426.000000,-1101.000000,-449449.000000
10:00:02.226,-481275.000000,-444029.000000,-246463.000000,915.000000,-394190.000000,-112776.000000,-262267.000000,-344496.000000,-1103.000000,-449634.000000
10:00:02.315,-481425.000000,-444048.000000,-246462.000000,880.000000,-394269.000000,-112734.000000,-262304.000000,-344621.000000,-1125.000000,-449879.000000
10:00:02.415,-481527.000000,-444099.000000,-246498.000000,803.000000,-394429.000000,-112664.000000,-262367.000000,-344785.000000,-1123.000000,-450228.000000
10:00:02.515,-481633.000000,-444157.000000,-246531.000000,788.000000,-394655.000000,-112671.000000,-262293.000000,-344904.000000,-1102.000000,-450512.000000
10:00:02.614,-481755.000000,-444331.000000,-246607.000000,759.000000,-394888.000000,-112692.000000,-262259.000000,-344992.000000,-1075.000000,-450748.000000
10:00:02.705,-481817.000000,-444700.000000,-246553.000000,848.000000,-395215.000000,-112761.000000,-262233.000000,-345010.000000,-1028.000000,-450919.000000
10:00:02.805,-481870.000000,-445036.000000,-246586.000000,874.000000,-395421.000000,-112831.000000,-262166.000000,-345024.000000,-1083.000000,-451109.000000
10:00:02.904,-481849.000000,-445299.000000,-246574.000000,870.000000,-395550.000000,-112978.000000,-262109.000000,-345019.000000,-1098.000000,-451319.000000
10:00:03.004,-481900.000000,-445415.000000,-246617.000000,824.000000,-395759.000000,-113233.000000,-261986.000000,-345021.000000,-1080.000000,-451464.000000
10:00:03.095,-481966.000000,-445544.000000,-246633.000000,781.000000,-395923.000000,-113547.000000,-261812.000000,-345086.000000,-1027.000000,-451550.000000
10:00:03.194,-482029.000000,-445781.000000,-246602.000000,833.000000,-396133.000000,-113640.000000,-261773.000000,-345216.000000,-1045.000000,-451634.000000
10:00:03.286,-482128.000000,-445813.000000,-246622.000000,853.000000,-396328.000000,-113720.000000,-261758.000000,-345336.000000,-1073.000000,-451791.000000
10:00:03.386,-482301.000000,-445857.000000,-246669.000000,827.000000,-396440.000000,-113913.000000,-261919.000000,-345559.000000,-1072.000000,-451882.000000
10:00:03.484,-482616.000000,-445897.000000,-246731.000000,824.000000,-396516.000000,-113935.000000,-262131.000000,-345787.000000,-1098.000000,-451930.000000
10:00:03.584,-482934.000000,-445845.000000,-246749.000000,850.000000,-396505.000000,-113921.000000,-262263.000000,-345970.000000,-1092.000000,-452010.000000
10:00:03.674,-483102.000000,-445810.000000,-246761.000000,805.000000,-396551.000000,-114034.000000,-262396.000000,-346064.000000,-1087.000000,-452032.000000
10:00:03.774,-483288.000000,-445737.000000,-246767.000000,774.000000,-396516.000000,-114164.000000,-262485.000000,-346164.000000,-1118.000000,-452045.000000
10:00:03.876,-483284.000000,-445640.000000,-246818.000000,801.000000,-396545.000000,-114279.000000,-262629.000000,-346231.000000,-1102.000000,-452074.000000
10:00:03.974,-483253.000000,-445554.000000,-246835.000000,818.000000,-396549.000000,-114413.000000,-262615.000000,-346279.000000,-1078.000000,-452073.000000
10:00:04.064,-483250.000000,-445502.000000,-246863.000000,816.000000,-396539.000000,-114543.000000,-262481.000000,-346449.000000,-1085.000000,-452086.000000
10:00:04.166,-483224.000000,-445400.000000,-246920.000000,808.000000,-396538.000000,-114655.000000,-262337.000000,-346548.000000,-1033.000000,-452122.000000
10:00:04.264,-483187.000000,-445225.000000,-246922.000000,791.000000,-396620.000000,-114742.000000,-262284.000000,-346577.000000,-1053.000000,-452214.000000
10:00:04.364,-483211.000000,-445187.000000,-246979.000000,773.000000,-396719.000000,-114851.000000,-262276.000000,-346588.000000,-1088.000000,-452307.000000
10:00:04.455,-483237.000000,-445223.000000,-247004.000000,823.000000,-396789.000000,-114988.000000,-262282.000000,-346531.000000,-1120.000000,-452322.000000
10:00:04.555,-483259.000000,-445223.000000,-247017.000000,821.000000,-396870.000000,-115038.000000,-262301.000000,-346430.000000,-1144.000000,-452324.000000
