Team Name: ,06 October 2022
Elasped Time,Strain 1,Strain 2,Strain 3,Strain 4,Strain 5,Strain 6,Strain 7,Strain 8,Strain 9,Strain 10
10:00:00.010,-440461.000000,-114424.000000,-130106.000000,566.000000,-218510.000000,-437074.000000,-259254.000000,-414034.000000,-795.000000,-442368.000000
10:00:00.100,-440382.000000,-114079.000000,-130090.000000,558.000000,-218464.000000,-437010.000000,-259205.000000,-414054.000000,-771.000000,-442468.000000
10:00:00.200,-440307.000000,-114351.000000,-130105.000000,584.000000,-218423.000000,-436999.000000,-259218.000000,-414035.000000,-736.000000,-442570.000000
10:00:00.300,-440292.000000,-114313.000000,-130144.000000,597.000000,-218445.000000,-436882.000000,-259275.000000,-414028.000000,-694.000000,-442631.000000
10:00:00.389,-440367.000000,-114535.000000,-130246.000000,574.000000,-218463.000000,-436860.000000,-259292.000000,-414089.000000,-687.000000,-442597.000000
10:00:00.489,-440265.000000,-114060.000000,-130330.000000,606.000000,-218476.000000,-436758.000000,-259305.000000,-414086.000000,-713.000000,-442588.000000
10:00:00.589,-440221.000000,-114135.000000,-130271.000000,573.000000,-218546.000000,-436746.000000,-259313.000000,-414041.000000,-757.000000,-442544.000000
10:00:00.690,-440232.000000,-114383.000000,-130536.000000,583.000000,-218560.000000,-436666.000000,-259325.000000,-413987.000000,-694.000000,-442469.000000
10:00:00.780,-440325.000000,-114651.000000,-130503.000000,607.000000,-218594.000000,-436634.000000,-259346.000000,-413976.000000,-728.000000,-442388.000000
10:00:00.879,-440297.000000,-114423.000000,-130306.000000,585.000000,-218581.000000,-436576.000000,-259323.000000,-413981.000000,-709.000000,-442365.000000
10:00:00.979,-440365.000000,-114453.000000,-129716.000000,584.000000,-218525.000000,-436547.000000,-259353.000000,-413951.000000,-695.000000,-442334.000000
10:00:01.069,-440328.000000,-114329.000000,-129846.000000,529.000000,-218559.000000,-436492.000000,-259312.000000,-413927.000000,-729.000000,-442241.000000
10:00:01.169,-440333.000000,-114685.000000,-129962.000000,497.000000,-218540.000000,-436549.000000,-259255.000000,-413917.000000,-696.000000,-442167.000000
10:00:01.269,-440370.000000,-114126.000000,-129783.000000,556.000000,-218540.000000,-436513.000000,-259273.000000,-413872.000000,-699.000000,-442146.000000
10:00:01.370,-440314.000000,-114711.000000,-129752.000000,576.000000,-218540.000000,-436448.000000,-259240.000000,-413889.000000,-759.000000,-442068.000000
10:00:01.459,-440254.000000,-114242.000000,-129776.000000,507.000000,-218517.000000,-436459.000000,-259249.000000,-413880.000000,-712.000000,-441938.000000
10:00:01.559,-440216.000000,-114409.000000,-129707.000000,522.000000,-218491.000000,-436421.000000,-259247.000000,-413860.000000,-740.000000,-441942.000000
10:00:01.659,-440215.000000,-114245.000000,-129761.000000,577.000000,-218419.000000,-436371.000000,-259276.000000,-413783.000000,-728.000000,-441884.000000
10:00:01.750,-440039.000000,-114444.000000,-129664.000000,587.000000,-218429.000000,-436372.000000,-259319.000000,-413676.000000,-707.000000,-441877.000000
10:00:01.849,-439830.000000,-114183.000000,-129638.000000,585.000000,-218432.000000,-436331.000000,-259336.000000,-413660.000000,-730.000000,-441875.000000
10:00:01.950,-439808.000000,-114505.000000,-129643.000000,554.000000,-218409.000000,-436335.000000,-259356.000000,-413639.000000,-739.000000,-441817.000000
10:00:02.050,-439771.000000,-114126.000000,-129600.000000,564.000000,-218389.000000,-436259.000000,-259286.000000,-413662.000000,-767.000000,-441764.000000
10:00:02.139,-439742.000000,-114446.000000,-129483.000000,551.000000,-218462.000000,-436203.000000,-259200.000000,-413650.000000,-727.000000,-441754.000000
10:00:02.239,-439700.000000,-114193.000000,-129363.000000,569.000000,-218436.000000,-436177.000000,-259178.000000,-413685.000000,-666.000000,-441690.000000
10:00:02.339,-439753.000000,-114481.000000,-129303.000000,620.000000,-218400.000000,-436135.000000,-259202.000000,-413708.000000,-714.000000,-441606.000000
10:00:02.439,-439745.000000,-114296.000000,-129199.000000,652.000000,-218439.000000,-436122.000000,-259163.000000,-413757.000000,-770.000000,-441572.000000
10:00:02.529,-439754.000000,-114444.000000,-129100.000000,598.000000,-218386.000000,-436062.000000,-259163.000000,-413821.000000,-705.000000,-441582.000000
10:00:02.629,-439779.000000,-114429.000000,-129088.000000,603.000000,-218363.000000,-436040.000000,-259161.000000,-413873.000000,-706.000000,-441510.000000
10:00:02.729,-439828.000000,-114447.000000,-129034.000000,560.000000,-218340.000000,-435919.000000,-259196.000000,-413936.000000,-730.000000,-441448.000000
10:00:02.820,-439887.000000,-114450.000000,-128953.000000,543.000000,-218299.000000,-435907.000000,-259191.000000,-413941.000000,-745.000000,-441473.000000
10:00:02.920,-439975.000000,-114423.000000,-128900.000000,526.000000,-218258.000000,-435876.000000,-259190.000000,-413949.000000,-738.000000,-441416.000000
10:00:03.020,-439992.000000,-114444.000000,-128860.000000,548.000000,-218259.000000,-435771.000000,-259263.000000,-413971.000000,-735.000000,-441352.000000
10:00:03.119,-440024.000000,-114513.000000,-128850.000000,558.000000,-218286.000000,-435698.000000,-259231.000000,-413976.000000,-744.000000,-441335.000000
10:00:03.209,-439996.000000,-114523.000000,-128866.000000,600.000000,-218223.000000,-435591.000000,-259126.000000,-413970.000000,-754.000000,-441359.000000
10:00:03.309,-439922.000000,-114569.000000,-128893.000000,602.000000,-218166.000000,-435534.000000,-259074.000000,-413920.000000,-741.000000,-441362.000000
10:00:03.409,-439886.000000,-114559.000000,-128884.000000,593.000000,-218201.000000,-435562.000000,-258967.000000,-413889.000000,-713.000000,-441354.000000
10:00:03.499,-439838.000000,-114494.000000,-128971.000000,565.000000,-218149.000000,-435571.000000,-258852.000000,-413860.000000,-782.000000,-441311.000000
10:00:03.599,-439788.000000,-114475.000000,-129061.000000,553.000000,-218076.000000,-435482.000000,-258728.000000,-413863.000000,-719.000000,-441215.000000
10:00:03.700,-439628.000000,-114354.000000,-129124.000000,540.000000,-218050.000000,-435446.000000,-258543.000000,-413816.000000,-701.000000,-441196.000000
10:00:03.799,-439552.000000,-114765.000000,-129188.000000,591.000000,-218110.000000,-435411.000000,-258401.000000,-413777.000000,-677.000000,-441068.000000
10:00:03.888,-439518.000000,-114106.000000,-129260.000000,590.000000,-218147.000000,-435426.000000,-258293.000000,-413752.000000,-729.000000,-440972.000000
10:00:03.990,-439399.000000,-114427.000000,-129325.000000,537.000000,-218112.000000,-435347.000000,-258187.000000,-413661.000000,-729.000000,-440873.000000
10:00:04.089,-439418.000000,-114507.000000,-129121.000000,543.000000,-218054.000000,-435367.000000,-257963.000000,-413556.000000,-767.000000,-440720.000000
10:00:04.179,-439390.000000,-113536.000000,-129374.000000,536.000000,-218023.000000,-435332.000000,-257800.000000,-413486.000000,-776.000000,-440636.000000
10:00:04.279,-439421.000000,-114434.000000,-129437.000000,528.000000,-218006.000000,-435394.000000,-257678.000000,-413413.000000,-757.000000,-440542.000000
10:00:04.379,-439300.000000,-113846.000000,-129425.000000,584.000000,-217980.000000,-435353.000000,-257517.000000,-413309.000000,-785.000000,-440378.000000
10:00:04.479,-439171.000000,-114257.000000,-129358.000000,581.000000,-218002.000000,-435329.000000,-257309.000000,-413220.000000,-789.000000,-440320.000000
10:00:04.569,-439009.000000,-114232.000000,-129354.000000,577.000000,-217968.000000,-435332.000000,-257151.000000,-413083.000000,-720.000000,-440244.000000
10:00:04.669,-438848.000000,-114570.000000,-129288.000000,556.000000,-217964.000000,-435293.000000,-257006.000000,-413013.000000,-707.000000,-440118.000000
10:00:04.768,-438654.000000,-114194.000000,-129414.000000,559.000000,-217897.000000,-435310.000000,-256930.000000,-412972.000000,-764.000000,-440019.000000
10:00:04.860,-438510.000000,-114803.000000,-129632.000000,563.000000,-217852.000000,-435233.000000,-256846.000000,-412921.000000,-761.000000,-439930.000000
10:00:04.959,-438405.000000,-114168.000000,-129894.000000,576.000000,-217828.000000,-435215.000000,-256754.000000,-412850.000000,-707.000000,-439834.000000
10:00:05.059,-438204.000000,-114612.000000,-129815.000000,510.000000,-217844.000000,-435131.000000,-256706.000000,-412787.000000,-734.000000,-439754.000000
10:00:05.159,-438096.000000,-114434.000000,-129854.000000,484.000000,-217800.000000,-435103.000000,-256654.000000,-412760.000000,-759.000000,-439738.000000
10:00:05.249,-438010.000000,-114355.000000,-129934.000000,525.000000,-217774.000000,-435072.000000,-256568.000000,-412776.000000,-779.000000,-439729.000000
10:00:05.349,-437987.000000,-114402.000000,-129905.000000,569.000000,-217757.000000,-435071.000000,-256532.000000,-412795.000000,-735.000000,-439725.000000
10:00:05.449,-437903.000000,-114354.000000,-129679.000000,542.000000,-217694.000000,-435039.000000,-256539.000000,-412845.000000,-721.000000,-439698.000000
10:00:05.539,-437932.000000,-114325.000000,-129344.000000,526.000000,-217607.000000,-435071.000000,-256490.000000,-412841.000000,-725.000000,-439554.000000
10:00:05.639,-437920.000000,-114380.000000,-129069.000000,521.000000,-217527.000000,-435105.000000,-256468.000000,-412790.000000,-737.000000,-439431.000000
10:00:05.739,-437950.000000,-114261.000000,-128886.000000,595.000000,-217525.000000,-435082.000000,-256409.000000,-412813.000000,-768.000000,-439384.000000
10:00:05.839,-437992.000000,-114385.000000,-128795.000000,608.000000,-217571.000000,-435073.000000,-256403.000000,-412813.000000,-752.000000,-439371.000000
