Team Name: ,06 October 2022
Elasped Time,Strain 1,Strain 2,Strain 3,Strain 4,Strain 5,Strain 6,Strain 7,Strain 8,Strain 9,Strain 10
10:00:00.004,-452554.000000,-194801.000000,-141017.000000,804.000000,-256503.000000,-479855.000000,-280203.000000,-420984.000000,-478.000000,-473813.000000
10:00:00.100,-452819.000000,-194846.000000,-141086.000000,776.000000,-256492.000000,-479921.000000,-280312.000000,-421070.000000,-478.000000,-473756.000000
10:00:00.199,-453077.000000,-194877.000000,-141164.000000,771.000000,-256425.000000,-479956.000000,-280359.000000,-421169.000000,-486.000000,-473751.000000
10:00:00.299,-453223.000000,-194826.000000,-141139.000000,752.000000,-256414.000000,-480061.000000,-280386.000000,-421272.000000,-511.000000,-473779.000000
10:00:00.390,-453305.000000,-194877.000000,-141081.000000,754.000000,-256395.000000,-480295.000000,-280471.000000,-421424.000000,-512.000000,-473695.000000
10:00:00.490,-453365.000000,-194869.000000,-141255.000000,752.000000,-256314.000000,-480495.000000,-280502.000000,-421539.000000,-524.000000,-473617.000000
10:00:00.590,-453326.000000,-194884.000000,-141296.000000,799.000000,-256325.000000,-480673.000000,-280528.000000,-421572.000000,-497.000000,-473578.000000
10:00:00.680,-453340.000000,-194849.000000,-141188.000000,811.000000,-256306.000000,-480828.000000,-280538.000000,-421622.000000,-480.000000,-473568.000000
10:00:00.780,-453395.000000,-194901.000000,-141245.000000,804.000000,-256297.000000,-480820.000000,-280583.000000,-421576.000000,-503.000000,-473607.000000
10:00:00.880,-453404.000000,-195006.000000,-141586.000000,790.000000,-256308.000000,-480907.000000,-280488.000000,-421476.000000,-524.000000,-473640.000000
10:00:00.981,-453459.000000,-195136.000000,-141152.000000,787.000000,-256290.000000,-480922.000000,-280464.000000,-421350.000000,-523.000000,-473746.000000
10:00:01.070,-453397.000000,-195032.000000,-141774.000000,819.000000,-256281.000000,-480891.000000,-280425.000000,-421254.000000,-537.000000,-473816.000000
10:00:01.169,-453402.000000,-195067.000000,-141453.000000,792.000000,-256333.000000,-480912.000000,-280406.000000,-421141.000000,-536.000000,-473921.000000
10:00:01.270,-453323.000000,-194963.000000,-142089.000000,807.000000,-256318.000000,-480859.000000,-280352.000000,-420993.000000,-552.000000,-474029.000000
10:00:01.361,-453310.000000,-195076.000000,-141621.000000,842.000000,-256328.000000,-480865.000000,-280384.000000,-420893.000000,-533.000000,-474143.000000
10:00:01.460,-453210.000000,-195045.000000,-142116.000000,816.000000,-256340.000000,-480816.000000,-280319.000000,-420833.000000,-477.000000,-474172.000000
10:00:01.561,-453069.000000,-195103.000000,-141749.000000,738.000000,-256380.000000,-480852.000000,-280322.000000,-420811.000000,-526.000000,-474276.000000
10:00:01.660,-453025.000000,-195109.000000,-142152.000000,757.000000,-256426.000000,-480924.000000,-280228.000000,-420721.000000,-515.000000,-474285.000000
10:00:01.751,-452999.000000,-195124.000000,-141786.000000,773.000000,-256463.000000,-480859.000000,-280169.000000,-420675.000000,-436.000000,-474345.000000
10:00:01.849,-453020.000000,-195157.000000,-142171.000000,821.000000,-256528.000000,-480901.000000,-280086.000000,-420658.000000,-508.000000,-474358.000000
10:00:01.949,-452974.000000,-195235.000000,-141763.000000,817.000000,-256601.000000,-480948.000000,-280071.000000,-420612.000000,-537.000000,-474352.000000
10:00:02.040,-452964.000000,-195165.000000,-142051.000000,816.000000,-256628.000000,-480960.000000,-280014.000000,-420620.000000,-509.000000,-474369.000000
10:00:02.180,-452987.000000,-195184.000000,-141791.000000,778.000000,-256582.000000,-480958.000000,-279973.000000,-420670.000000,-526.000000,-474421.000000
10:00:02.239,-453000.000000,-195117.000000,-141945.000000,711.000000,-256634.000000,-480958.000000,-279945.000000,-420664.000000,-495.000000,-474433.000000
10:00:02.341,-453015.000000,-195020.000000,-141743.000000,775.000000,-256694.000000,-481035.000000,-279923.000000,-420634.000000,-494.000000,-474472.000000
10:00:02.430,-453027.000000,-194967.000000,-141898.000000,798.000000,-256908.000000,-481055.000000,-279924.000000,-420607.000000,-504.000000,-474500.000000
10:00:02.530,-453073.000000,-194902.000000,-141771.000000,801.000000,-257043.000000,-481117.000000,-279863.000000,-420583.000000,-511.000000,-474533.000000
10:00:02.629,-453058.000000,-194805.000000,-141863.000000,802.000000,-257138.000000,-481144.000000,-279827.000000,-420578.000000,-464.000000,-474565.000000
10:00:02.730,-453059.000000,-194748.000000,-141852.000000,778.000000,-257268.000000,-481194.000000,-279821.000000,-420562.000000,-520.000000,-474560.000000
10:00:02.819,-453031.000000,-194700.000000,-141811.000000,799.000000,-257402.000000,-481203.000000,-279827.000000,-420565.000000,-595.000000,-474584.000000
10:00:02.920,-453081.000000,-194698.000000,-141089.000000,753.000000,-257412.000000,-481525.000000,-279855.000000,-420638.000000,-580.000000,-474644.000000
10:00:03.020,-452944.000000,-194327.000000,-143869.000000,722.000000,-257477.000000,-481463.000000,-279864.000000,-420672.000000,-514.000000,-474542.000000
10:00:03.110,-452859.000000,-194780.000000,-142857.000000,711.000000,-257503.000000,-481489.000000,-279786.000000,-420659.000000,-535.000000,-474644.000000
10:00:03.210,-452778.000000,-194786.000000,-143312.000000,763.000000,-257533.000000,-481393.000000,-279847.000000,-420753.000000,-545.000000,-474540.000000
10:00:03.310,-452678.000000,-194793.000000,-142849.000000,752.000000,-257589.000000,-481373.000000,-279792.000000,-420921.000000,-565.000000,-474440.000000
10:00:03.401,-452735.000000,-195135.000000,-142471.000000,768.000000,-257599.000000,-481198.000000,-279849.000000,-420978.000000,-564.000000,-474395.000000
