Team Name: ,06 October 2022
Elasped Time,Strain 1,Strain 2,Strain 3,Strain 4,Strain 5,Strain 6,Strain 7,Strain 8,Strain 9,Strain 10
10:00:00.069,-461590.000000,-328010.000000,-232067.000000,637.000000,-320986.000000,-501105.000000,-307657.000000,-562352.000000,-351.000000,-535442.000000
10:00:00.158,-461528.000000,-328102.000000,-231990.000000,681.000000,-320943.000000,-501120.000000,-307717.000000,-562353.000000,-275.000000,-535457.000000
10:00:00.260,-461421.000000,-328129.000000,-231994.000000,728.000000,-320928.000000,-501115.000000,-307800.000000,-562302.000000,-280.000000,-535439.000000
10:00:00.360,-461379.000000,-328116.000000,-231981.000000,662.000000,-320949.000000,-501090.000000,-307808.000000,-562316.000000,-321.000000,-535414.000000
10:00:00.449,-461254.000000,-328045.000000,-231952.000000,666.000000,-320933.000000,-501075.000000,-307845.000000,-562379.000000,-385.000000,-535316.000000
10:00:00.549,-461136.000000,-327954.000000,-231929.000000,646.000000,-321027.000000,-501128.000000,-307917.000000,-562360.000000,-355.000000,-535365.000000
10:00:00.649,-460955.000000,-327868.000000,-231941.000000,682.000000,-321058.000000,-501142.000000,-307860.000000,-562365.000000,-339.000000,-535327.000000
10:00:00.748,-460876.000000,-327808.000000,-231890.000000,720.000000,-320998.000000,-501189.000000,-307905.000000,-562357.000000,-308.000000,-535311.000000
10:00:00.840,-460859.000000,-327830.000000,-231862.000000,704.000000,-320929.000000,-501273.000000,-307812.000000,-562439.000000,-265.000000,-535306.000000
10:00:00.940,-460752.000000,-327824.000000,-231838.000000,679.000000,-320974.000000,-501258.000000,-307859.000000,-562486.000000,-324.000000,-535309.000000
10:00:01.038,-460715.000000,-327943.000000,-231806.000000,707.000000,-320980.000000,-501301.000000,-307868.000000,-562588.000000,-341.000000,-535258.000000
10:00:01.129,-460572.000000,-327990.000000,-231725.000000,707.000000,-321020.000000,-501335.000000,-307890.000000,-562645.000000,-296.000000,-535229.000000
10:00:01.230,-460500.000000,-328015.000000,-231779.000000,721.000000,-321078.000000,-501297.000000,-307881.000000,-562693.000000,-328.000000,-535226.000000
10:00:01.328,-460347.000000,-328031.000000,-231875.000000,690.000000,-321158.000000,-501237.000000,-307903.000000,-562690.000000,-366.000000,-535231.000000
10:00:01.429,-460295.000000,-328092.000000,-231863.000000,706.000000,-321167.000000,-501240.000000,-307917.000000,-562741.000000,-348.000000,-535238.000000
10:00:01.519,-460123.000000,-328104.000000,-231869.000000,694.000000,-321231.000000,-501254.000000,-307971.000000,-562724.000000,-281.000000,-535317.000000
10:00:01.618,-460056.000000,-328122.000000,-231873.000000,660.000000,-321313.000000,-501229.000000,-307914.000000,-562795.000000,-268.000000,-535302.000000
10:00:01.719,-459972.000000,-328144.000000,-231809.000000,656.000000,-321340.000000,-501233.000000,-307954.000000,-562738.000000,-285.000000,-535254.000000
10:00:01.809,-459939.000000,-328213.000000,-231829.000000,666.000000,-321369.000000,-501263.000000,-307972.000000,-562710.000000,-369.000000,-535216.000000
10:00:01.908,-459814.000000,-328173.000000,-231866.000000,738.000000,-321455.000000,-501219.000000,-307958.000000,-562688.000000,-326.000000,-535217.000000
10:00:02.009,-459789.000000,-328088.000000,-231805.000000,710.000000,-321535.000000,-501242.000000,-307939.000000,-562694.000000,-289.000000,-535203.000000
10:00:02.110,-459775.000000,-328054.000000,-231810.000000,727.000000,-321557.000000,-501242.000000,-307985.000000,-562629.000000,-342.000000,-535203.000000
10:00:02.199,-460004.000000,-327662.000000,-231780.000000,744.000000,-320965.000000,-501268.000000,-307915.000000,-563730.000000,-329.000000,-535168.000000
10:00:02.300,-463721.000000,-325543.000000,-231533.000000,644.000000,-315747.000000,-501224.000000,-305682.000000,-575343.000000,-363.000000,-534848.000000
