Team Name: ,06 October 2022
Elasped Time,Strain 1,Strain 2,Strain 3,Strain 4,Strain 5,Strain 6,Strain 7,Strain 8,Strain 9,Strain 10
10:00:00.004,-281361.000000,-107048.000000,-129805.000000,1297.000000,-11634.000000,-128897.000000,-202289.000000,-90899.000000,-748.000000,-181176.000000
10:00:00.099,-281351.000000,-107010.000000,-129740.000000,1292.000000,-11712.000000,-128880.000000,-202239.000000,-91000.000000,-738.000000,-181169.000000
10:00:00.188,-281292.000000,-106845.000000,-129907.000000,1365.000000,-11792.000000,-128874.000000,-202135.000000,-90979.000000,-721.000000,-181334.000000
10:00:00.290,-281263.000000,-106715.000000,-129998.000000,1304.000000,-11741.000000,-128851.000000,-202120.000000,-90810.000000,-792.000000,-181689.000000
10:00:00.388,-281317.000000,-106618.000000,-129981.000000,1347.000000,-11678.000000,-128808.000000,-202410.000000,-90588.000000,-768.000000,-181970.000000
10:00:00.488,-281360.000000,-106475.000000,-129958.000000,1361.000000,-11674.000000,-128760.000000,-202762.000000,-90272.000000,-736.000000,-182209.000000
10:00:00.578,-281411.000000,-106440.000000,-129929.000000,1312.000000,-11695.000000,-128759.000000,-203164.000000,-89909.000000,-719.000000,-182392.000000
10:00:00.679,-281447.000000,-106413.000000,-129941.000000,1295.000000,-11700.000000,-128684.000000,-203458.000000,-89680.000000,-723.000000,-182598.000000
10:00:00.779,-281449.000000,-106386.000000,-129888.000000,1292.000000,-11631.000000,-128636.000000,-203716.000000,-89511.000000,-732.000000,-182944.000000
10:00:00.878,-281430.000000,-106322.000000,-129828.000000,1304.000000,-11606.000000,-128659.000000,-204075.000000,-89279.000000,-813.000000,-183314.000000
10:00:00.968,-281471.000000,-106272.000000,-129775.000000,1316.000000,-11605.000000,-128665.000000,-204467.000000,-89104.000000,-784.000000,-183700.000000
10:00:01.069,-281393.000000,-106243.000000,-129708.000000,1296.000000,-11641.000000,-128638.000000,-204827.000000,-88895.000000,-796.000000,-184018.000000
10:00:01.168,-281283.000000,-106183.000000,-129627.000000,1310.000000,-11659.000000,-128638.000000,-205339.000000,-88821.000000,-821.000000,-184196.000000
10:00:01.259,-281160.000000,-106112.000000,-129548.000000,1267.000000,-11654.000000,-128624.000000,-205899.000000,-88766.000000,-818.000000,-184121.000000
10:00:01.359,-281024.000000,-106106.000000,-129460.000000,1263.000000,-11681.000000,-128635.000000,-206353.000000,-88778.000000,-805.000000,-183738.000000
10:00:01.458,-280714.000000,-106107.000000,-129450.000000,1276.000000,-11795.000000,-128695.000000,-206677.000000,-88766.000000,-818.000000,-183333.000000
10:00:01.558,-280526.000000,-105985.000000,-129475.000000,1317.000000,-11955.000000,-128677.000000,-206854.000000,-88762.000000,-813.000000,-182959.000000
