weight (kg), angle (rad), samples, force_1 (N), force_2 (N), force_3 (N), force_5 (N), force_6 (N), force_7 (N), force_8 (N), force_10 (N), std_1 (N), std_2 (N), std_3 (N), std_5 (N), std_6 (N), std_7 (N), std_8 (N), std_10 (N)
0.01, 0.0, 234.0, 0.3580495686485173, 0.27559531435121853, 0.17533230132647065, 0.23746310673400728, 0.373265733382985, 0.23208405530894433, 0.42863738486083586, 0.4360223702037106, 0.0007694501187725553, 0.000400602073065576, 0.0005713910999038443, 0.0004801617859292989, 0.00047190135613745947, 0.0006638245620843953, 0.0007014065560096153, 0.0002936086552753795
0.02, 0.0, 388.0, 0.4031015381667328, 0.2434207179048766, 0.1787011376860292, 0.18000100481219825, 0.3782390688306964, 0.20031209171480296, 0.5013044484151904, 0.4265206566568521, 0.00057491121922011, 0.0006024561547100071, 0.000735472516309188, 0.0013374723172589233, 0.0007347268555475201, 0.001239062161948346, 0.0030345145648635707, 0.0006353957626568959
0.03, 0.0, 419.0, 0.44064657492092113, 0.21451261890417583, 0.17838587786120494, 0.13998137420105655, 0.3835480534248704, 0.17108120741502036, 0.5713620369208023, 0.4222851394117968, 0.0008221463552092466, 0.0014968903122599682, 0.001383387015434055, 0.001724141357836116, 0.001640429466752306, 0.002561042497020837, 0.003697782300061911, 0.0008386014586872859
0.04, 0.0, 291.0, 0.4552568415949208, 0.18851677755023363, 0.1745350603605388, 0.10663109380990048, 0.38895056749145607, 0.1536715148429202, 0.6110654030342426, 0.41207433956637074, 0.0008263693611511902, 0.0005716959889365531, 0.0005966916658401195, 0.0012419836575339363, 0.0005834361889025697, 0.001356064116626549, 0.0025022939824938706, 0.0005367126776181628
0.05, 0.0, 311.0, 0.5623448663036693, 0.13507125265645792, 0.16218357481525947, 0.06702999442543425, 0.40081877429279905, 0.11748176330730288, 0.7315853250379283, 0.4080437254198303, 0.0018930420717399822, 0.0008374693563677018, 0.0008911255265688673, 0.001083354449825608, 0.0003807708956019369, 0.001201968064105713, 0.004718316710303148, 0.0005475729834162666
0.06, 0.0, 391.0, 0.6558596179680167, 0.104893772251994, 0.12149654399285534, 0.02938137902605341, 0.41657704293523995, 0.10058390838349729, 0.8034005255221597, 0.41308174874140197, 0.0026944980650615217, 0.00031234453079447656, 0.0004640219134597296, 0.0017147343889352825, 0.0008800736231005699, 0.0009320689329293254, 0.004745697369695997, 0.0009558877228652276
0.07, 0.0, 302.0, 0.7086782832927115, 0.0946199450825537, 0.11303902297505398, 0.008355849924673293, 0.4282552454296156, 0.07599156054694199, 0.8903254846574288, 0.4087652746286251, 0.0017529222799533692, 0.0005343255928515451, 0.000714474476855978, 0.00046776548742775726, 0.000597544209753678, 0.0013446415698990402, 0.004274446250941465, 0.0006803651361290338
0.0, 0.0, 144.0, 0.43955724731155865, 0.17719310325042315, 0.16420650783328658, 0.17117915820762558, 0.395392285919114, 0.24715213384847676, 0.4234795450107401, 0.4233549999090595, 0.0013918789340985871, 0.00034085120818825497, 0.0007042043211872312, 0.00035388177160667684, 0.0007101632609242956, 0.00043401575545885487, 0.0012010232704179153, 0.0009069430963732547
0.01, 1.5707963267948966, 467.0, 0.349905275150992, 0.16026236131064428, 0.08428216178962104, 0.2142095384378169, 0.39673729960421594, 0.2114056566712442, 0.3326468813683225, 0.44282373596193375, 0.0007147900137833683, 0.000997820278601083, 0.000601408118940424, 0.000684696152202344, 0.0007398307865513233, 0.0008827800440929963, 0.0008471436107005673, 0.0011270530437310262
0.02, 1.5707963267948966, 298.0, 0.3493942361724735, 0.136759283966033, 0.06016463723082757, 0.21192633219100285, 0.4202174210683491, 0.1969993663931731, 0.3235056196891415, 0.47165775206381727, 0.0009224236467422637, 0.0010936972079090216, 0.0014211074382833632, 0.0008315705674070772, 0.000733311118287327, 0.0011599271454002485, 0.0012322059061154016, 0.0009179522073147688
